Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Mean_Cupule_Width(mm),Mean_cupule_height(mm),Mean_kernel_row,Total_Wt_g,Period,Phase/Project
M73,ZMDNA24_01,ZMDNA24_01,Oval,71,21.5,23,2.251381215,2.2053407,18.66666667,4.9,LF,Huaracane
M73,ZMDNA24_02,ZMDNA24_02,Oval,113.48,21.72,22,2.872928177,2.569060773,32.66666667,6.5,LF,Huaracane
M73,ZMDNA24_03,ZMDNA24_03,Oval,75.98,22.42,23,2.131675875,1.620626151,26,5.5,LF,Huaracane
M73,ZMDNA24_04,ZMDNA24_04,Long,87.4,8.7,8,1.560773481,1.947513812,23.66666667,1.6,LF,Huaracane
M73,ZMDNA24_05,ZMDNA24_05,Oval,79.22,20.17,13,2.361878453,2.762430939,22.33333333,4.4,LF,Huaracane
M73,ZMDNA24_06,ZMDNA24_06,Oval,93.88,21.06,19,2.486187845,2.394106814,25.33333333,8.3,LF,Huaracane
M73,ZMDNA24_07,ZMDNA24_07,Oval,48.32,15.79,10,2.048802947,2.569060773,17.66666667,2.2,LF,Huaracane
M73,ZMDNA24_08,ZMDNA24_08,Round,36,18.8,22,2.154696133,1.418047882,12.66666667,2,LF,Huaracane
M73,ZMDNA24_09,ZMDNA24_09,Oval,53.19,15.51,14,2.697974217,2.803867403,18.66666667,2.3,LF,Huaracane
M73,ZMDNA24_10,ZMDNA24_10,Round,18.56,17,12,1.749539595,1.395027624,11,0.8,LF,Huaracane
M73,ZMDNA24_11,ZMDNA24_11,Oval,45.37,11.17,9,1.123388582,1.88305709,10,0.7,LF,Huaracane
M73,ZMDNA24_12,ZMDNA24_12,Round,30.55,16.64,NA,2.260589319,1.339779006,10,1.2,LF,Huaracane
M73,ZMDNA24_13,ZMDNA24_13,Oval,39.99,13.77,11,2.532228361,1.818600368,14.66666667,0.6,LF,Huaracane
M73,ZMDNA24_14,ZMDNA24_14,Round,33.82,15.82,6,2.64732965,2.536832413,12,0.9,LF,Huaracane
M73,ZMDNA24_15,ZMDNA24_15,Oval,62.53,27.59,23,2.955801105,3.135359116,19,5.6,LF,Huaracane
M73,ZMDNA24_16,ZMDNA24_16,Oval,39.11,15.43,10,3.591160221,2.338858195,14.66666667,0.5,LF,Huaracane
M73,ZMDNA24_17,ZMDNA24_17,Oval,51.44,22.11,NA,1.813996317,2.209944751,17,1.7,LF,Huaracane
M73,ZMDNA24_18,ZMDNA24_18,Oval,35.5,14.15,12,2.463167587,2.283609576,11.66666667,0.7,LF,Huaracane
M73,ZMDNA24_19,ZMDNA24_19,Round,25.73,12.64,NA,2.044198895,1.698895028,12,0.9,LF,Huaracane
