Site,Codigo,Sample_ID,Cob_shape,Length_mm,Diameter_mm,Cupule_number,Cupule_width_mm,Cupule_width_mm,Cupule_width_mm,Mean_Cupule_Width(mm),Cupule_height_mm,Cupule_height_mm,Cupule_height_mm,Mean_cupule_height(mm),Cupule_depth_mm,Cupule_depth_mm,Cupule_depth_mm,Mean_cupule_depth,Kernels_per_row,Kernels_per_row,Kernels_per_row,Mean_kernel_row,Total_Wt_g,Small_Bag_Wt_g,Large_Bag_Wt_g
RM-07-M43,PICFM-49/22-RM1,M43=2400.01,Rectangle,23.03,5.82,4,3.5,3,3,3.2,3,3,3,3.0,1,1,1,1.0,6,6,7,6,0.14,0.06,0.09
RM-07-M43,,M43=2400.02,Oval,69.39,15.16,8,3,3,2,2.7,3,3,3,3.0,2,2,1,1.7,16,15,12,14,5.27,0.11,5.22
RM-07-M43,,M43=2400.03,Round,84.28,22.52,8,2,5,5,4.0,2,3,3,2.7,1,2,2,1.7,16,15,13,15,10.6,0.18,10.42
RM-07-M43,PICFM-49/22-RM2,M43=3256.01,Round,48.5,12.17,8,3,5,4,4.0,3,5,4,4.0,3,3,3,3.0,12,12,11,12,1.86,0.5,1.37
RM-07-M43,PICFM-49/22-RM3,M43=3226.01,Round,97.79,15.28,8,4,5,5,4.7,4,3,3,3.3,1,0.5,1,0.8,30,28,27,28,4.29,1.09,3.15
RM-07-M43,,M43=3226.02,Round,64.55,20.72,8,7,7,7,7.0,2,3,3,2.7,1,1,1,1.0,19,17,20,19,5.45,0.81,4.62
RM-07-M43,,M43=3226.03,Oval,48.02,15.7,9,6,4,3,4.3,2,3,2,2.3,0.5,1,1,0.8,14,11,15,13,1.93,0.86,1.05
RM-07-M43,,M43=3226.04,Rectangle,41.71,12.7,7,5,5,5,5.0,3,3,3,3.0,1,1,1,1.0,10,10,11,10,1.75,0.76,0.89
RM-07-M43,,M43=3226.05,Round,31.96,8.66,7,3,3,3,3.0,3,3,3,3.0,1,0.5,1,0.8,10,10,8,9,0.67,0.27,0.38
RM-07-M43,,M43=3226.06,Rectangle,27.42,15.02,8,5,5,5,5.0,3,3,4,3.3,2,2,2,2.0,6,6,5,6,0.58,0.22,0.38
RM-07-M43,,M43=3226.07,Round,27.2,9.54,9,3,3,3,3.0,3,4,3,3.3,1,1,1,1.0,7,8,9,8,0.46,0.27,0.17
RM-07-M43,,M43=3226.08,Square,21.66,8.82,7,3,2.5,3.5,3.0,2.5,1.5,2.5,2.2,1,1,1,1.0,5,5,5,5,0.13,0.09,0.04
RM-07-M43,PICFM-49/22-RM4,M43=6174.01,Triangle,39.83,8.26,4,5,5,5,5.0,4,4,4,4.0,0.5,3,4,2.5,9,11,10,10,0.55,0.25,0.32
RM-07-M43,,M43=6174.02,Square,18.16,9.11,5,5,5,4,4.7,3,3,2.5,2.8,0.5,0.5,3,1.3,6,6,6,6,0.34,0.14,0.13
RM-07-M43,,M43=6174.03,Triangle,22.41,14.4,5,5,7,7,6.3,4,3,3,3.3,0,3,1,1.3,7,7,5,6,0.95,0.33,0.62
RM-07-M43,,M43=6174.04,Round,18.66,15.2,6,6,6,6,6.0,2,3,3,2.7,0.5,1.5,1,1.0,2,3,3,3,0.83,0.21,0.64
RM-07-M43,,M43=6174.05,Rectangle,22.6,10,7,2,2,2,2.0,2.5,2.5,2.5,2.5,0.5,1,1,0.8,3,2,6,4,0.31,0.1,0.2
RM-07-M43,,M43=6174.06,Oval,18.47,12.29,6,3,3,3,3.0,2.5,2.5,3,2.7,0.5,2,0.5,1.0,3,3,4,3,0.31,0.17,0.14
RM-07-M43,,M43=6174.07,Round,7.9,14.65,5,5,4,3,4.0,5,3,3,3.7,0.000,0,0,0.0,1,1,2,1,0.21,0.13,0.09
RM-07-M43,,M43=6174.08,Round,10.77,8.68,5,3,3,3.5,3.2,2.5,2.5,3,2.7,0.5,1,2,1.2,3,4,4,4,0.1,0.05,0.05
RM-07-M43,,M43=6174.09,Oval,23.54,10.66,8,2,3,3,2.7,2.5,2.5,3,2.7,5,5,1,3.7,6,5,6,6,0.22,0.12,0.07
RM-07-M43,,M43=6174.10,Oval,15.03,5.01,7,1,2,2,1.7,2,1.5,3,2.2,0.5,0.25,0.5,0.4,5,6,6,6,0.1,0.06,0.04
RM-08-M43,PICFM-49/22-RM5,M43=4632.01,Square,43.94,10.76,6,4,7,7,6.0,1,2.5,2.5,2.0,0,0.5,0.5,0.3,12,14,14,13,1.45,0.49,0.94
RM-08-M43,,M43=4632.02,Round,41.74,9.64,7,3,4,3,3.3,4,4,2.5,3.5,1,2,1,1.3,10,11,10,10,0.68,0.27,0.39
RM-08-M43,,M43=4632.03,Triangle,27.63,8.27,6,4,3,5,4.0,2.5,2.5,2.5,2.5,1,1.5,1,1.2,7,7,8,7,0.68,0.36,0.33
RM-08-M43,,M43=4632.04,Square,27.38,8.52,6,3,3,4,3.3,2.5,2.5,3,2.7,0.5,0.5,1,0.7,6,7,6,6,0.3,0.13,0.17
RM-08-M43,PICFM-49/22-RM6,M43=4768.01,Round,90.51,12.51,7,3,3,4,3.3,4,3,4,3.7,1,1,1,1.0,26,20,19,22,2.71,0.65,2
RM-08-M43,,M43=4768.02,Oval,35.22,13.43,9,2.5,3,4,3.2,2.5,1.5,3,2.3,0.25,1.5,0.5,0.8,10,10,8,9,0.48,0.18,0.28
RM-08-M43,PICFM-49/22-RM7,M43=4882.01,Round,62.43,7.58,6,3,3,3.5,3.2,2.5,3,2.5,2.7,2,1,1,1.3,21,20,21,21,0.63,0.23,0.4
RM-08-M43,,M43=4882.02,Round,41.53,14.95,8,3,5,5,4.3,2.5,3,3,2.8,1.5,2,2,1.8,11,10,12,11,0.63,0.19,0.43
RM-08-M43,,M43=4882.03,Oval,20.06,15.78,8,4,3,3,3.3,2.5,3,2.5,2.7,2,2,1.5,1.8,7,7,6,7,0.45,0.18,0.27
RM-08-M43,,M43=4882.04,Round,19.26,16,9,3,3,2.5,2.8,2,3,1.5,2.2,1,1,1,1.0,5,7,7,6,0.98,0.45,0.53
RM-08-M43,,M43=4882.05,Oval,22.11,12.51,10,3,3,3,3.0,3,1.5,1.5,2.0,0.5,1,1.5,1.0,7,6,8,7,0.33,0.12,0.27
RM-08-M43,,M43=4882.06,Round,19.18,9.06,6,3,3,3,3.0,3,3,2.5,2.8,1,2,1,1.3,5,5,5,5,0.24,0.1,0.14
RM-08-M43,,M43=4882.07,Round,29.02,5.97,6,3,3,3,3.0,3.5,2.5,2.5,2.8,1,1,2.5,1.5,8,8,8,8,0.23,0.1,0.13
RM-08-M43,,M43=4882.08,Oval,19.05,8.58,5,4,3,1.5,2.8,2.5,2.5,1.5,2.2,0.5,1,0.5,0.7,7,7,7,7,0.26,0.12,0.14
RM-08-M43,,M43=4882.09,Round,33.22,6.48,8,3,3,3,3.0,3,2.5,3,2.8,0.5,1,0.5,0.7,10,9,9,9,0.34,0.2,0.13
RM-08-M43,PICFM-49/22-RM8,M43=6385.01,Oval,146.95,26.55,10,6,7,7,6.7,5,4,4,4.3,3,1,1,1.7,32,33,33,33,16.53,3.59,12.92
RM-08-M43,,M43=6385.02,Oval,99.95,23.76,8,6,5,5,5.3,4,4,4,4.0,1,1,1,1.0,21,22,24,22,8.76,2.31,6.33
